NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
FRANCA,JONAS CARVALHO,MOBILIZA,141,0.0009049831840004108
FRANCA,JOÃO SCARPANTI,PCO,40,0.0002567328181561449
CERQUILHO,DU PILON,MDB,10006,0.4040379567938623
CERQUILHO,ROBERTA BERTANHA,PL,8169,0.32986069049061173
CERQUILHO,GERMANO REIS,UNIÃO,5476,0.22111851403189986
CERQUILHO,WAGNER BELLUCCI,PSB,1114,0.044982838683626084
GUARARAPES,ALEX ARRUDA,MDB,10665,0.6101258581235698
GUARARAPES,DEDÊ,PSD,5393,0.3085240274599542
GUARARAPES,EVANDRO GONÇALVES,PL,1325,0.07580091533180779
GUARARAPES,GUEDES,REDE,97,0.005549199084668192
VOTUPORANGA,JORGE SEBA,PSD,26582,0.5944096601073345
VOTUPORANGA,DALBERT MEGA,PRD,9131,0.20418157423971378
VOTUPORANGA,DR. HERY,AVANTE,6485,0.1450134168157424
VOTUPORANGA,BRUNO ARENA,PT,2522,0.0563953488372093
MOGI DAS CRUZES,MARA BERTAIOLLI,PL,113271,0.5108026570342411
MOGI DAS CRUZES,CAIO CUNHA,PODE,69065,0.3114529359506834
MOGI DAS CRUZES,RODRIGO VALVERDE,PT,36811,0.16600150619388412
MOGI DAS CRUZES,PROFESSORA SHEILA MANTOVANNI,MOBILIZA,1453,0.006552394352223891
MOGI DAS CRUZES,DOUTOR ROBERTO RODRIGUES,PRTB,1151,0.005190506468967446
PINDAMONHANGABA,RICARDO PIORINO,PL,35734,0.44652987778971837
PINDAMONHANGABA,TORINO,PSD,27122,0.3389148526728813
PINDAMONHANGABA,VELA,PT,14241,0.17795466473396146
PINDAMONHANGABA,GIOVANNI NICOLETTI,NOVO,2929,0.03660060480343888
MONTE AZUL PAULISTA,DR. MARDQUEU,PL,6469,0.5841610980675456
MONTE AZUL PAULISTA,FABINHO,MDB,4605,0.4158389019324544
SANTANA DE PARNAÍBA,ELVIS CEZAR,REPUBLICANOS,53756,0.7087332559856555
SANTANA DE PARNAÍBA,SILVINHO FILHO,PSD,18369,0.24218173188482228
SANTANA DE PARNAÍBA,LEANDRO MONTEIRO,PL,2457,0.032393734838097245
SANTANA DE PARNAÍBA,PROFESSOR ARISTIDES,PT,1266,0.016691277291424955
ILHA COMPRIDA,MARISTELA,REPUBLICANOS,4125,0.4313048933500627
ILHA COMPRIDA,RODRIGO GIZ,PODE,3549,0.37107904642409034
ILHA COMPRIDA,RIC ,PL,1721,0.1799456294437474
ILHA COMPRIDA,MILTON FURACÃO,PT,122,0.012756168966959431
ILHA COMPRIDA,SASSÁ TUPINAMBÁ,PSOL,47,0.004914261815140109
ECHAPORÃ,RONALDO GAZETA,MDB,2068,0.5127696503843293
ECHAPORÃ,PROF SOLANGE GARCIA,PL,1965,0.48723034961567074
FLOREAL,RAUL SCALON,UNIÃO,1359,0.58984375
FLOREAL,JOAO MARITACA,PSD,945,0.41015625
PRESIDENTE EPITÁCIO,ANDRÉ LIMA,REPUBLICANOS,9756,0.46245733788395904
PRESIDENTE EPITÁCIO,MAJOR SIMONE CRISTO,UNIÃO,5003,0.23715396283655668
PRESIDENTE EPITÁCIO,CLÁUDIO ITAVERÁ,PT,4909,0.23269814182783466
PRESIDENTE EPITÁCIO,ROSIANE MAKIYAMA,PL,1428,0.0676905574516496
LORENA,SYLVINHO BALLERINI,PSD,25384,0.5565202139787775
LORENA,FABIO MARCONDES,REPUBLICANOS,18897,0.4142988687187582
LORENA,PAULA SENNES,PSB,1331,0.029180917302464263
MORRO AGUDO,CHICÃO VALADARES,CIDADANIA,6608,0.46669962567977963
MORRO AGUDO,AMARELINHO ,PL,3634,0.25665654354121054
MORRO AGUDO,POLIANA BARBETI,SOLIDARIEDADE,3279,0.2315841514231231
MORRO AGUDO,CANGERANA,REPUBLICANOS,290,0.02048167243449396
MORRO AGUDO,PAMELA MENDES,PSB,276,0.0194929020411046
MORRO AGUDO,JOSE CARLOS DE OLIVEIRA,PT,72,0.005085104880288156
PEDREIRA,FABIO POLIDORO,REPUBLICANOS,13209,0.5567779463834092
PEDREIRA,PAULO BEGALLI,PP,9548,0.4024616422188501
PEDREIRA,TONINHO ALVES,PSOL,536,0.02259315461136402
PEDREIRA,NENÊ PIRAJÁ,PSD,431,0.018167256786376665
OURO VERDE,JULIÃO,UNIÃO,2331,0.5043271311120727
OURO VERDE,DINEI DA BANDA,PSD,1831,0.3961488533102553
OURO VERDE,MANOEL VIEIRA,PODE,460,0.099524015577672
ITATINGA,PAULO ROQUE,PL,4191,0.40732821459811447
ITATINGA,ALINE SANTIAGO,PSD,3986,0.3874040237146467
ITATINGA,LEONARDO ZANARDO,PRD,2004,0.19477111478277773
ITATINGA,PARDAL DO ARISTEU,PSB,108,0.010496646904461076
BAURU,SUÉLLEN ROSIM,PSD,94314,0.5372761918867957
BAURU,CHIARA RANIERI,UNIÃO,31075,0.17702417099139234
BAURU,DR RAUL,PODE,27815,0.15845301097749243
BAURU,GAZZETA,PV,8320,0.047396334759400936
BAURU,PROFESSOR MARCOS CHAGAS,PSOL,6058,0.03451045624668881
BAURU,ANTONIO IZZO FILHO,AGIR,4414,0.025145122791826412
BAURU,PROF XAIDES,PDT,3415,0.019454144615787764
BAURU,PAULO LAGO,PCO,130,0.0007405677306156396
JUNDIAÍ,PARIMOSCHI,PL,104180,0.48070800380210593
JUNDIAÍ,GUSTAVO MARTINELLI,UNIÃO,93921,0.4333708622105739
JUNDIAÍ,PROFESSOR HIGOR CODARIN,PSOL,10677,0.04926587979069961
JUNDIAÍ,RICARDO BOCALON,PSB,5399,0.024912099371545114
JUNDIAÍ,SILAS FEITOSA,PRTB,2545,0.011743154825075442
