NR_ZONA,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,BAIRRO,RANK
256,JOÃO PIMENTA,PCO,15,TREMEMBE,10
257,PABLO MARÇAL,PRTB,38215,VILA PRUDENTE,1
257,RICARDO NUNES,MDB,33669,VILA PRUDENTE,2
257,GUILHERME BOULOS,PSOL,28696,VILA PRUDENTE,3
257,TABATA AMARAL,PSB,12037,VILA PRUDENTE,4
257,DATENA,PSDB,2163,VILA PRUDENTE,5
257,MARINA HELENA,NOVO,1965,VILA PRUDENTE,6
257,RICARDO SENESE,UP,117,VILA PRUDENTE,7
257,ALTINO PRAZERES,PSTU,53,VILA PRUDENTE,8
257,JOÃO PIMENTA,PCO,24,VILA PRUDENTE,9
257,BEBETO HADDAD,DC,11,VILA PRUDENTE,10
257,PABLO MARÇAL,PRTB,38215,SAO LUCAS,1
257,RICARDO NUNES,MDB,33669,SAO LUCAS,2
257,GUILHERME BOULOS,PSOL,28696,SAO LUCAS,3
257,TABATA AMARAL,PSB,12037,SAO LUCAS,4
257,DATENA,PSDB,2163,SAO LUCAS,5
257,MARINA HELENA,NOVO,1965,SAO LUCAS,6
257,RICARDO SENESE,UP,117,SAO LUCAS,7
257,ALTINO PRAZERES,PSTU,53,SAO LUCAS,8
257,JOÃO PIMENTA,PCO,24,SAO LUCAS,9
257,BEBETO HADDAD,DC,11,SAO LUCAS,10
258,RICARDO NUNES,MDB,43406,CAMPO BELO,1
258,PABLO MARÇAL,PRTB,32545,CAMPO BELO,2
258,GUILHERME BOULOS,PSOL,26107,CAMPO BELO,3
258,TABATA AMARAL,PSB,18477,CAMPO BELO,4
258,MARINA HELENA,NOVO,3670,CAMPO BELO,5
258,DATENA,PSDB,1182,CAMPO BELO,6
258,RICARDO SENESE,UP,93,CAMPO BELO,7
258,ALTINO PRAZERES,PSTU,47,CAMPO BELO,8
258,JOÃO PIMENTA,PCO,32,CAMPO BELO,9
258,BEBETO HADDAD,DC,25,CAMPO BELO,10
258,RICARDO NUNES,MDB,43406,MOEMA,1
258,PABLO MARÇAL,PRTB,32545,MOEMA,2
258,GUILHERME BOULOS,PSOL,26107,MOEMA,3
258,TABATA AMARAL,PSB,18477,MOEMA,4
258,MARINA HELENA,NOVO,3670,MOEMA,5
258,DATENA,PSDB,1182,MOEMA,6
258,RICARDO SENESE,UP,93,MOEMA,7
258,ALTINO PRAZERES,PSTU,47,MOEMA,8
258,JOÃO PIMENTA,PCO,32,MOEMA,9
258,BEBETO HADDAD,DC,25,MOEMA,10
259,RICARDO NUNES,MDB,32704,SAUDE,1
259,GUILHERME BOULOS,PSOL,28601,SAUDE,2
259,PABLO MARÇAL,PRTB,24687,SAUDE,3
259,TABATA AMARAL,PSB,15415,SAUDE,4
259,MARINA HELENA,NOVO,2531,SAUDE,5
259,DATENA,PSDB,1351,SAUDE,6
259,RICARDO SENESE,UP,133,SAUDE,7
259,ALTINO PRAZERES,PSTU,66,SAUDE,8
259,JOÃO PIMENTA,PCO,30,SAUDE,9
259,BEBETO HADDAD,DC,13,SAUDE,10
260,RICARDO NUNES,MDB,36827,IPIRANGA,1
260,PABLO MARÇAL,PRTB,34776,IPIRANGA,2
260,GUILHERME BOULOS,PSOL,31628,IPIRANGA,3
260,TABATA AMARAL,PSB,12582,IPIRANGA,4
260,DATENA,PSDB,2171,IPIRANGA,5
260,MARINA HELENA,NOVO,1684,IPIRANGA,6
260,RICARDO SENESE,UP,110,IPIRANGA,7
260,ALTINO PRAZERES,PSTU,51,IPIRANGA,8
260,JOÃO PIMENTA,PCO,24,IPIRANGA,9
260,BEBETO HADDAD,DC,9,IPIRANGA,10
260,RICARDO NUNES,MDB,36827,SACOMA,1
260,PABLO MARÇAL,PRTB,34776,SACOMA,2
260,GUILHERME BOULOS,PSOL,31628,SACOMA,3
260,TABATA AMARAL,PSB,12582,SACOMA,4
